Element,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe
at_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
be.1s,13.6,24.59,64.84,119.3,194,296.5,410.7,545,696.16,870.3,1079.03,1310.9,1567,1846,2154,2477,2830,3205.9,3614.3,4042.8,4494,4972.2,5475,5996,6549.9,7124,7725,8348,8987,9667,10367,11105,11870,12660,13478,14328,15201.7,16106.6,17039.9,18000.6,18988.6,20003.5,21048,22121.2,23223.9,24355,25518,26714,27943,29203,30494,31818,33174,34563
be.2s,NA,NA,5.39,9.32,14.05,19.39,25.41,32.31,40.19,48.47,70.84,94,125.6,156,194,235,278,326.3,384.3,442.5,503.2,569,638,703,781.6,857,940,1024,1105.7,1203,1302.1,1415.9,1531,1656.6,1787.7,1924.7,2068.07,2068.07,2374.83,2536.07,2702.13,2871.67,3048.33,3230,3417.93,3611,3811.9,4022.3,4242,4469.1,4701.3,4943.2,5193.1,5454.8
be.2p,NA,NA,NA,NA,8.3,11.26,14.55,16.53,18.67,21.66,38.2,54.9,80.5,106.5,140.5,170.5,209,249.6,301.8,352.9,406.2,465,528,586.5,657.2,726.5,802.5,878.5,950.3,1040.6,1128.1,1230,1339.1,1452.3,1571.3,1696,1827.16,1965.11,2107.61,2254.96,2406.38,2561.44,2721.78,2886.93,3057.27,3232.4,3414.6,3605.2,3804,4008.9,4219.6,4436.8,4660.4,4891.4
be.3s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14,7.65,11.33,15.17,20.17,21.3,25.31,29.24,40.8,48.3,56.4,65,77,79,94.6,104,115,125,128.8,145,162.04,183.25,208,234.25,261.75,293.13,325.55,360.94,396.05,433.98,471.48,510.5,550.333,590.82,633.06,676.46,723.48,774.88,830.28,888.18,948.28,1011.8,1078.3,1148
be.3p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,8.18,11.02,11.89,13.75,15.81,24.66,30.1,33.6,40,47,49,59.4,66,73,82,83,96,107.08,126.08,146.65,167.33,190.05,217.85,244.733,275.087,306.333,338.613,369.007,404.147,437.983,473.513,509.607,546.75,587.54,632.48,681.25,732.49,785.51,841.47,899.87,959.78
be.4s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,6.11,6.65,7.05,7.33,6.76,7.92,8.34,6.67,8.99,7.72,9.39,11,14.3,17,20.15,23.8,27.51,32.4,40.66,47.95,55.04,61.12,67.56,74.2667,80.16,86.28,92.78,101.36,112.4,126.14,140.64,156.44,174,193.2,214.63
be.3d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.01,9.94,12,8.66,14.3,14.7,15.8,17,10.64,17.3,21.14,31.82,45.555,59.575,75.17,93.722,114.1,137.048,160.344,184.456,208.644,234.044,260.35,286.608,314.168,342.9,374.94,410.86,450.33,492.01,535.53,581.82,630.63,681.02
be.4p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9993,7.9,9.8152,9.7524,11.814,14,16.5167,22.7733,28.625,32.9667,37.3133,41.46,44.775,47.44,53.6917,56.887,64.49,71.073,81.367,92.368,103.01,115.9,132.37,153.48
be.5s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17713,5.69484,6.217,6.6339,6.75885,7.09243,7.28,7.3605,7.4589,0,7.5762,8.9937,10,12,15,17.84,20.61,23.39
be.4d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38,8.61,7.17,8.56,8.6,8.5,9.56,8.5141,10.4,13.4,20.416,28.116,36.148,47.168,57.455,68.146
be.5p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7864,7.3438,8.64,9.0096,10.451,12.563
ne.1s,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
