symbol,name
H,hydrogen
He,helium
Li,lithium
Be,beryllium
B,boron
C,carbon
N,nitrogen
O,oxygen
F,fluorine
Ne,neon
Na,sodium
Mg,magnesium
Al,aluminum
Si,silicon
P,phosphorus
S,sulfur
Cl,chlorine
Ar,argon
K,potassium
Ca,calcium
Sc,scandium
Ti,titanium
V,vanadium
Cr,chromium
Mn,manganese
Fe,iron
Co,cobalt
Ni,nickel
Cu,copper
Zn,zinc
Ga,gallium
Ge,germanium
As,arsenic
Se,selenium
Br,bromine
Kr,krypton
Rb,rubidium
Sr,strontium
Y,yttrium
Zr,zirconium
Nb,niobium
Mo,molybdenum
Tc,technetium
Ru,ruthenium
Rh,rhodium
Pd,palladium
Ag,silver
Cd,cadmium
In,indium
Sn,tin
Sb,antimony
Te,tellurium
I,iodine
Xe,xenon
